-------------------------------------
Registry name, Name, Type, Rarity, ID
enigmaticlegacy:sharpshooter, enchantment.enigmaticlegacy.sharpshooter, CROSSBOW, RARE (2), 45
enigmaticlegacy:slayer, enchantment.enigmaticlegacy.slayer, WEAPON, COMMON (10), 50
enigmaticlegacy:sorrow, enchantment.enigmaticlegacy.sorrow, ARMOR, RARE (2), 52
enigmaticlegacy:torrent, enchantment.enigmaticlegacy.torrent, TRIDENT, RARE (2), 48
enigmaticlegacy:wrath, enchantment.enigmaticlegacy.wrath, TRIDENT, RARE (2), 49
ensorcellation:air_affinity, enchantment.ensorcellation.air_affinity, ARMOR_HEAD, RARE (2), 112
ensorcellation:angler, enchantment.ensorcellation.angler, FISHING_ROD, VERY_RARE (1), 131
ensorcellation:bulwark, enchantment.ensorcellation.bulwark, BREAKABLE, UNCOMMON (5), 133
ensorcellation:cavalier, enchantment.cofh_core.disabled, SWORD_OR_AXE, UNCOMMON (5), 120
ensorcellation:curse_fool, enchantment.ensorcellation.curse_fool, ARMOR_HEAD, VERY_RARE (1), 136
ensorcellation:curse_mercy, enchantment.ensorcellation.curse_mercy, SWORD_OR_AXE, VERY_RARE (1), 137
ensorcellation:damage_ender, enchantment.cofh_core.disabled, SWORD_OR_AXE, UNCOMMON (5), 117
ensorcellation:damage_illager, enchantment.ensorcellation.damage_illager, SWORD_OR_AXE, UNCOMMON (5), 118
ensorcellation:damage_villager, enchantment.cofh_core.disabled, SWORD_OR_AXE_OR_CROSSBOW, UNCOMMON (5), 119
ensorcellation:displacement, enchantment.cofh_core.disabled, ARMOR_CHEST, RARE (2), 109
ensorcellation:excavating, enchantment.ensorcellation.excavating, PICKAXE_OR_SHOVEL, RARE (2), 126
ensorcellation:fire_rebuke, enchantment.cofh_core.disabled, ARMOR_CHEST, VERY_RARE (1), 110
ensorcellation:frost_aspect, enchantment.ensorcellation.frost_aspect, SWORD_OR_AXE, RARE (2), 121
ensorcellation:frost_rebuke, enchantment.cofh_core.disabled, ARMOR_CHEST, VERY_RARE (1), 111
ensorcellation:gourmand, enchantment.cofh_core.disabled, ARMOR_HEAD, UNCOMMON (5), 114
ensorcellation:hunter, enchantment.ensorcellation.hunter, BOW, VERY_RARE (1), 127
ensorcellation:instigating, enchantment.cofh_core.disabled, SWORD_OR_AXE, UNCOMMON (5), 122
ensorcellation:leech, enchantment.ensorcellation.leech, SWORD_OR_AXE, UNCOMMON (5), 123
ensorcellation:magic_edge, enchantment.cofh_core.disabled, SWORD_OR_AXE, RARE (2), 124
ensorcellation:magic_protection, enchantment.ensorcellation.magic_protection, ARMOR, UNCOMMON (5), 108
ensorcellation:phalanx, enchantment.ensorcellation.phalanx, BREAKABLE, UNCOMMON (5), 134
ensorcellation:pilfering, enchantment.cofh_core.disabled, FISHING_ROD, RARE (2), 132
ensorcellation:quick_draw, enchantment.ensorcellation.quick_draw, BOW, UNCOMMON (5), 128
ensorcellation:reach, enchantment.ensorcellation.reach, ARMOR_CHEST, UNCOMMON (5), 115
ensorcellation:soulbound, enchantment.ensorcellation.soulbound, ENCHANTABLE, UNCOMMON (5), 135
ensorcellation:trueshot, enchantment.ensorcellation.trueshot, BOW, UNCOMMON (5), 129
ensorcellation:vitality, enchantment.ensorcellation.vitality, ARMOR_CHEST, VERY_RARE (1), 116
ensorcellation:volley, enchantment.ensorcellation.volley, BOW, RARE (2), 130
ensorcellation:vorpal, enchantment.ensorcellation.vorpal, SWORD_OR_AXE, RARE (2), 125
ensorcellation:xp_boost, enchantment.ensorcellation.xp_boost, ARMOR_HEAD, UNCOMMON (5), 113
farmersdelight:backstabbing, enchantment.farmersdelight.backstabbing, knife, UNCOMMON (5), 44
minecraft:aqua_affinity, enchantment.minecraft.aqua_affinity, ARMOR_HEAD, RARE (2), 6
minecraft:bane_of_arthropods, enchantment.minecraft.bane_of_arthropods, WEAPON, UNCOMMON (5), 15
minecraft:binding_curse, enchantment.minecraft.binding_curse, WEARABLE, VERY_RARE (1), 10
minecraft:blast_protection, enchantment.minecraft.blast_protection, ARMOR, RARE (2), 3
minecraft:channeling, enchantment.minecraft.channeling, TRIDENT, VERY_RARE (1), 33
minecraft:depth_strider, enchantment.minecraft.depth_strider, ARMOR_FEET, RARE (2), 8
minecraft:efficiency, enchantment.minecraft.efficiency, DIGGER, COMMON (10), 20
minecraft:feather_falling, enchantment.minecraft.feather_falling, ARMOR_FEET, UNCOMMON (5), 2
minecraft:fire_aspect, enchantment.minecraft.fire_aspect, SWORD_OR_AXE, RARE (2), 17
minecraft:fire_protection, enchantment.minecraft.fire_protection, ARMOR, UNCOMMON (5), 1
minecraft:flame, enchantment.minecraft.flame, BOW, RARE (2), 26
minecraft:fortune, enchantment.minecraft.fortune, DIGGER, RARE (2), 23
minecraft:frost_walker, enchantment.ensorcellation.frost_walker, ARMOR_FEET, RARE (2), 9
minecraft:impaling, enchantment.minecraft.impaling, TRIDENT, RARE (2), 31
minecraft:infinity, enchantment.minecraft.infinity, BOW, VERY_RARE (1), 27
minecraft:knockback, enchantment.minecraft.knockback, SWORD_OR_AXE, UNCOMMON (5), 16
minecraft:looting, enchantment.minecraft.looting, SWORD_OR_AXE, RARE (2), 18
minecraft:loyalty, enchantment.minecraft.loyalty, TRIDENT, UNCOMMON (5), 30
minecraft:luck_of_the_sea, enchantment.minecraft.luck_of_the_sea, FISHING_ROD, RARE (2), 28
minecraft:lure, enchantment.minecraft.lure, FISHING_ROD, RARE (2), 29
minecraft:mending, enchantment.minecraft.mending, BREAKABLE, RARE (2), 37
minecraft:multishot, enchantment.minecraft.multishot, CROSSBOW, RARE (2), 34
minecraft:piercing, enchantment.minecraft.piercing, CROSSBOW, COMMON (10), 36
minecraft:power, enchantment.minecraft.power, BOW, COMMON (10), 24
minecraft:projectile_protection, enchantment.minecraft.projectile_protection, ARMOR, UNCOMMON (5), 4
minecraft:protection, enchantment.minecraft.protection, ARMOR, COMMON (10), 0
minecraft:punch, enchantment.minecraft.punch, BOW, RARE (2), 25
minecraft:quick_charge, enchantment.minecraft.quick_charge, CROSSBOW, UNCOMMON (5), 35
minecraft:respiration, enchantment.minecraft.respiration, ARMOR_HEAD, RARE (2), 5
minecraft:riptide, enchantment.minecraft.riptide, TRIDENT, RARE (2), 32
minecraft:sharpness, enchantment.minecraft.sharpness, WEAPON, COMMON (10), 13
minecraft:silk_touch, enchantment.minecraft.silk_touch, DIGGER, VERY_RARE (1), 21
minecraft:smite, enchantment.minecraft.smite, WEAPON, UNCOMMON (5), 14
minecraft:soul_speed, enchantment.minecraft.soul_speed, ARMOR_FEET, VERY_RARE (1), 11
minecraft:sweeping, enchantment.minecraft.sweeping, WEAPON, RARE (2), 19
minecraft:swift_sneak, enchantment.minecraft.swift_sneak, ARMOR_LEGS, VERY_RARE (1), 12
minecraft:thorns, enchantment.minecraft.thorns, ARMOR_CHEST, VERY_RARE (1), 7
minecraft:unbreaking, enchantment.minecraft.unbreaking, BREAKABLE, UNCOMMON (5), 22
minecraft:vanishing_curse, enchantment.minecraft.vanishing_curse, VANISHABLE, VERY_RARE (1), 38
obscure_api:distance, enchantment.obscure_api.distance, dynamic_projectile_distance, COMMON (10), 59
obscure_api:fast_spin, enchantment.obscure_api.fast_spin, dynamic_projectile_fast_spin, COMMON (10), 58
obscure_api:mirror, enchantment.obscure_api.mirror, dynamic_projectile_mirror, UNCOMMON (5), 57
reliquary:severing, enchantment.reliquary.severing, WEAPON, RARE (2), 76
spirit:soul_reaper, enchantment.spirit.soul_reaper, WEAPON, UNCOMMON (5), 79
stalwart_dungeons:thunder_strike, enchantment.stalwart_dungeons.thunder_strike, WEAPON, RARE (2), 39
the_bumblezone:comb_cutter, enchantment.the_bumblezone.comb_cutter, BREAKABLE, RARE (2), 54
the_bumblezone:neurotoxins, enchantment.the_bumblezone.neurotoxins, TRIDENT, RARE (2), 56
the_bumblezone:potent_poison, enchantment.the_bumblezone.potent_poison, TRIDENT, UNCOMMON (5), 55
unusualend:boloks_fury, enchantment.unusualend.boloks_fury, AXE, RARE (2), 81
unusualend:everlasting, enchantment.unusualend.everlasting, BREAKABLE, RARE (2), 80
youre_seeing_dungeons:celestial_flames, enchantment.youre_seeing_dungeons.celestial_flames, WEAPON, VERY_RARE (1), 73
youre_seeing_dungeons:keeper, enchantment.youre_seeing_dungeons.keeper, BREAKABLE, UNCOMMON (5), 72
-------------------------------------
Registry name, Name, Type, Rarity, ID
-------------------------------------
